file,fileVersion,date,bugID
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.55,2010.02.21.03.35.52,206391
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.53,2009.08.19.19.24.45,285466
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.51,2008.04.18.15.41.46,182360
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.50,2008.03.20.08.57.49,97332
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.49,2008.01.14.08.27.11,214731
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.48,2007.07.05.13.52.50,191082
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.48,2007.07.05.13.52.50,192774
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.48,2007.07.05.13.52.50,189799
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.42,2006.11.24.01.32.03,161980
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.42,2006.11.24.01.32.03,161975
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.40,2006.09.01.07.48.06,146554
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.39,2006.04.12.15.31.24,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.38,2006.04.12.04.01.07,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.36,2006.02.11.02.06.25,126803
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.35,2006.01.17.09.35.50,98127
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.34,2005.07.28.16.52.26,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.33,2005.07.25.14.24.13,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.32,2005.05.25.14.15.06,92398
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.30,2004.01.16.13.16.49,50025
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.29,2004.01.13.15.48.45,2004
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.24,2002.10.25.18.06.23,22358
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.32.2.1,2005.07.25.15.15.31,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\FileSystem.java,1.32.2.2,2005.07.28.17.08.40,104664
