file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#ExceptionAttribute.java,org.eclipse.jdt.internal.core.util.exceptionattribute,class,10,7,3,4,0,4,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,43,3,1,0,0,0,0,5,12,0,7,2,0,0,0,20,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#ExceptionTableEntry.java,org.eclipse.jdt.internal.core.util.exceptiontableentry,class,8,8,2,4,5,6,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,43,5,0,0,0,0,0,5,6,0,6,2,0,0,0,30,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#FieldInfo.java,org.eclipse.jdt.internal.core.util.fieldinfo,class,15,26,2,6,52,13,0,12,0,0,0,0,0,0,11,0,0,11,0,0,0,0,0,113,12,1,0,0,2,0,11,29,9,17,2,0,0,0,48,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#HandleFactory.java,org.eclipse.jdt.internal.core.util.handlefactory,class,40,69,1,62,15,7,0,3,4,0,0,0,0,0,4,0,0,4,0,0,0,0,5,272,20,6,9,4,8,0,30,81,4,61,4,0,0,0,145,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#HashSetOfArray.java,org.eclipse.jdt.internal.core.util.hashsetofarray,class,7,33,1,11,3,11,0,8,3,0,0,0,0,0,3,0,2,0,0,0,0,0,4,114,11,7,7,0,6,2,18,42,8,30,2,0,0,0,38,17
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#HashSetOfCharArrayArray.java,org.eclipse.jdt.internal.core.util.hashsetofchararrayarray,class,7,35,1,11,3,11,0,8,3,0,0,0,0,0,3,0,2,0,0,0,0,0,1,125,11,8,7,0,5,4,20,45,9,33,4,0,0,0,41,17
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#HashtableOfArrayToObject.java,org.eclipse.jdt.internal.core.util.hashtableofarraytoobject,class,7,48,1,12,0,14,0,11,3,0,0,0,0,0,4,0,3,0,0,0,0,0,7,164,17,10,13,0,9,2,24,62,11,42,2,0,0,0,42,17
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#ICacheEnumeration.java,org.eclipse.jdt.internal.core.util.icacheenumeration,interface,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,65,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#ILRUCacheable.java,org.eclipse.jdt.internal.core.util.ilrucacheable,interface,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,34,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#InnerClassesAttribute.java,org.eclipse.jdt.internal.core.util.innerclassesattribute,class,7,5,3,1,0,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,35,2,1,0,0,0,0,6,9,1,6,2,0,0,0,21,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#InnerClassesAttributeEntry.java,org.eclipse.jdt.internal.core.util.innerclassesattributeentry,class,8,14,2,5,14,8,0,8,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,67,7,0,0,0,0,0,7,10,0,8,2,0,0,0,25,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#JavaElementFinder.java,org.eclipse.jdt.internal.core.util.javaelementfinder,class,21,30,2,24,0,13,0,12,1,0,0,0,0,0,5,0,2,3,0,0,0,0,0,117,10,0,5,3,13,0,10,36,7,20,2,0,0,0,58,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#KeyKind.java,org.eclipse.jdt.internal.core.util.keykind,class,4,20,2,0,0,18,0,18,0,0,0,0,0,0,15,13,14,1,0,0,13,0,0,74,1,0,1,0,0,0,15,30,0,15,0,0,0,0,59,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#KeyToSignature.java,org.eclipse.jdt.internal.core.util.keytosignature,class,8,57,2,23,0,26,0,25,1,0,0,0,0,0,13,4,5,8,0,0,4,0,0,266,6,12,2,0,7,2,37,80,2,54,2,0,0,0,83,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#LineNumberAttribute.java,org.eclipse.jdt.internal.core.util.linenumberattribute,class,6,5,3,1,0,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,37,2,1,0,0,0,0,11,10,1,6,2,0,0,0,21,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#LocalVariableAttribute.java,org.eclipse.jdt.internal.core.util.localvariableattribute,class,7,5,3,1,0,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,37,2,1,0,0,0,0,6,9,1,6,2,0,0,0,22,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#LocalVariableTableEntry.java,org.eclipse.jdt.internal.core.util.localvariabletableentry,class,8,10,2,4,14,8,0,8,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,56,7,0,0,0,0,0,5,9,0,8,1,0,0,0,28,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#LocalVariableTypeAttribute.java,org.eclipse.jdt.internal.core.util.localvariabletypeattribute,class,7,5,3,1,0,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,37,2,1,0,0,0,0,6,9,1,6,2,0,0,0,22,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#LocalVariableTypeTableEntry.java,org.eclipse.jdt.internal.core.util.localvariabletypetableentry,class,8,10,2,4,14,8,0,8,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,56,7,0,0,0,0,0,5,9,0,8,1,0,0,0,28,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#LRUCache.java,org.eclipse.jdt.internal.core.util.lrucache,class,17,56,1,27,168,29,0,21,0,8,0,0,0,0,7,1,0,0,7,0,1,0,0,417,30,5,11,0,4,5,9,61,8,36,2,1,2,0,257,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#MementoTokenizer.java,org.eclipse.jdt.internal.core.util.mementotokenizer,class,4,38,1,5,0,3,0,3,0,0,0,0,0,0,18,15,0,18,0,0,17,0,0,102,18,1,1,0,0,0,1,24,3,20,1,0,0,0,27,1
D:\github\EECS6444\Minke\Extract_Java_Code\Extract_Java_Code\org.eclipse.jdt.core\org.eclipse.jdt.core#model#org#eclipse#jdt#internal#core#util#Messages.java,org.eclipse.jdt.internal.core.util.messages,class,4,6,2,3,10,5,4,4,1,0,0,0,0,0,323,323,322,1,0,0,1,0,3,345,4,0,0,0,0,1,0,1,0,323,0,0,0,0,385,17
