file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
org.eclipse.jdt.core\formatter\org\eclipse\jdt\core\formatter\CodeFormatterApplication.java,1.10,2007-05-23,185928,R3_3_1,2007-09-28,2007-05-28,-123 days +00:00:00.000000000
org.eclipse.jdt.core\formatter\org\eclipse\jdt\internal\formatter\DefaultCodeFormatterOptions.java,1.85,2007-05-23,185928,R3_3_1,2007-09-28,2007-05-28,-123 days +00:00:00.000000000
org.eclipse.jdt.core\formatter\org\eclipse\jdt\core\formatter\CodeFormatterApplication.java,1.10,2007-05-23,185928,R3_3,2007-06-28,2007-05-28,-31 days +00:00:00.000000000
org.eclipse.jdt.core\formatter\org\eclipse\jdt\internal\formatter\DefaultCodeFormatterOptions.java,1.85,2007-05-23,185928,R3_3,2007-06-28,2007-05-28,-31 days +00:00:00.000000000
org.eclipse.jdt.core\formatter\org\eclipse\jdt\internal\formatter\Scribe.java,1.107,2007-05-29,189456,R3_3_1,2007-09-28,2007-06-01,-119 days +00:00:00.000000000
org.eclipse.jdt.core\formatter\org\eclipse\jdt\internal\formatter\Scribe.java,1.107,2007-05-29,189456,R3_3,2007-06-28,2007-06-01,-27 days +00:00:00.000000000
org.eclipse.jdt.core\formatter\org\eclipse\jdt\internal\formatter\comment\Attic\JavaDocRegion.java,1.8,2007-02-17,97199,R3_3,2007-06-28,2007-03-20,-100 days +00:00:00.000000000
org.eclipse.jdt.core\formatter\org\eclipse\jdt\core\formatter\CodeFormatterApplication.java,1.5,2006-05-17,141949,R3_2_1,2006-09-28,2006-05-19,-132 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\CompletionContext.java,1.10,2006-05-17,141949,R3_2_1,2006-09-28,2006-05-19,-132 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\IClasspathAttribute.java,1.9,2006-05-17,141949,R3_2_1,2006-09-28,2006-05-19,-132 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\ITypeParameter.java,1.6,2006-05-17,141949,R3_2_1,2006-09-28,2006-05-19,-132 days +00:00:00.000000000
org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\AST.java,1.148,2006-05-17,141949,R3_2,2006-06-29,2006-05-19,-41 days +00:00:00.000000000
org.eclipse.jdt.core\formatter\org\eclipse\jdt\core\formatter\CodeFormatterApplication.java,1.5,2006-05-17,141949,R3_2,2006-06-29,2006-05-19,-41 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\CompletionContext.java,1.10,2006-05-17,141949,R3_2,2006-06-29,2006-05-19,-41 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\CompletionProposal.java,1.33,2006-05-17,141949,R3_2,2006-06-29,2006-05-19,-41 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\IClasspathAttribute.java,1.9,2006-05-17,141949,R3_2,2006-06-29,2006-05-19,-41 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\ITypeParameter.java,1.6,2006-05-17,141949,R3_2,2006-06-29,2006-05-19,-41 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\CompletionProposal.java,1.38,2007-01-26,171771,R3_3,2007-06-28,2007-02-05,-143 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\JavaCore.java,1.577.2.2,2007-12-04,210638,R3_3_2,2008-02-21,2007-12-12,-71 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\compiler\BuildContext.java,1.4,2006-02-17,128217,R3_2,2006-06-29,2006-03-27,-94 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\compiler\BuildContext.java,1.4,2006-02-17,127583,R3_2,2006-06-29,2006-03-28,-93 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\compiler\CompilationParticipant.java,1.16,2007-03-29,166449,R3_3_1,2007-09-28,2007-04-27,-154 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\compiler\CompilationParticipant.java,1.16,2007-03-29,166449,R3_3,2007-06-28,2007-04-27,-62 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\compiler\ReconcileContext.java,1.10,2007-03-27,179258,R3_3_1,2007-09-28,2007-04-27,-154 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ReconcileWorkingCopyOperation.java,1.46,2007-03-27,179258,R3_3_1,2007-09-28,2007-04-27,-154 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\core\compiler\ReconcileContext.java,1.10,2007-03-27,179258,R3_3,2007-06-28,2007-04-27,-62 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ReconcileWorkingCopyOperation.java,1.46,2007-03-27,179258,R3_3,2007-06-28,2007-04-27,-62 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\BinaryMethod.java,1.95,2007-04-26,179011,R3_3_1,2007-09-28,2007-04-27,-154 days +00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\BinaryMethod.java,1.95,2007-04-26,179011,R3_3,2007-06-28,2007-04-27,-62 days +00:00:00.000000000
