file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
org.eclipse.jdt.core\eval\org\eclipse\jdt\internal\eval\CodeSnippetScope.java,1.29,2004-06-09,65180,R3_0,2004-06-25,2004-07-19,24 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\problem\DefaultProblemFactory.java,1.36,2004-04-26,51911,R3_0,2004-06-25,2004-07-29,34 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ClasspathEntry.java,1.59,2004-06-16,64646,R3_0,2004-06-25,2004-07-05,10 days 00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\indexing\IndexManager.java,1.127,2004-06-16,64646,R3_0,2004-06-25,2004-07-05,10 days 00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\processing\JobManager.java,1.80,2004-06-09,64646,R3_0,2004-06-25,2004-07-05,10 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\builder\ImageBuilderInternalException.java,1.6,2004-04-27,58652,R3_0,2004-06-25,2004-09-23,90 days 00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\ISearchRequestor.java,1.21,2005-05-18,92555,R3_1_2,2006-01-25,2006-07-11,167 days 00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnSingleTypeReference.java,1.22,2005-05-18,92555,R3_1_2,2006-01-25,2006-07-11,167 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CancelableNameEnvironment.java,1.4,2005-05-18,92555,R3_1_2,2006-01-25,2006-07-11,167 days 00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\ISearchRequestor.java,1.21,2005-05-18,94965,R3_1,2005-06-28,2005-08-18,51 days 00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnSingleTypeReference.java,1.22,2005-05-18,94965,R3_1,2005-06-28,2005-08-18,51 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CancelableNameEnvironment.java,1.4,2005-05-18,94965,R3_1,2005-06-28,2005-08-18,51 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\Statement.java,1.35,2005-06-10,99260,R3_1,2005-06-28,2005-08-31,64 days 00:00:00.000000000
org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\ASTConverter.java,1.213,2005-06-15,99982,R3_1,2005-06-28,2005-07-11,13 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\Assignment.java,1.58.2.3,2005-10-13,111898,R3_1_2,2006-01-25,2006-02-20,26 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\MethodDeclaration.java,1.48.2.2,2005-07-04,98532,R3_1_2,2006-01-25,2006-02-16,22 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\TypeParameter.java,1.6.4.1,2005-07-04,98532,R3_1_2,2006-01-25,2006-02-16,22 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\MethodDeclaration.java,1.48.2.2,2005-07-04,98532,R3_1_1,2005-09-28,2006-02-16,141 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\TypeParameter.java,1.6.4.1,2005-07-04,98532,R3_1_1,2005-09-28,2006-02-16,141 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\ParameterizedMethodBinding.java,1.13.2.2,2006-01-09,123078,R3_1_2,2006-01-25,2006-03-28,62 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\Scope.java,1.231.2.19,2005-11-24,117861,R3_1_2,2006-01-25,2006-02-24,30 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\problem\ProblemReporter.java,1.252.2.11,2005-10-21,106466,R3_1_2,2006-01-25,2006-03-21,55 days 00:00:00.000000000
org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\ASTParser.java,1.44.2.2,2005-09-22,109646,R3_1_2,2006-01-25,2006-02-20,26 days 00:00:00.000000000
org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\ASTParser.java,1.44.2.2,2005-09-22,109646,R3_1_1,2005-09-28,2006-02-20,145 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\CompilationResult.java,1.41.2.4,2005-09-07,101080,R3_1_1,2005-09-28,2005-10-10,12 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ASTNode.java,1.46.2.1,2005-07-18,104082,R3_1_1,2005-09-28,2006-03-01,154 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\CaptureBinding.java,1.10.2.1,2005-07-18,104082,R3_1_1,2005-09-28,2006-03-01,154 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ASTNode.java,1.46.2.1,2005-07-18,104167,R3_1_1,2005-09-28,2006-02-13,138 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\CaptureBinding.java,1.10.2.1,2005-07-18,104167,R3_1_1,2005-09-28,2006-02-13,138 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ClassFile.java,1.189,2009-05-21,277372,R3_5,2009-06-24,2009-08-25,62 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\JavadocQualifiedTypeReference.java,1.24,2008-09-12,211054,R3_5,2009-06-24,2009-08-17,54 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\JavadocSingleTypeReference.java,1.27,2008-09-12,211054,R3_5,2009-06-24,2009-08-17,54 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\classfmt\ClassFileReader.java,1.89,2009-03-09,124646,R3_5,2009-06-24,2009-10-27,125 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\classfmt\ClassFileReader.java,1.89,2009-03-09,124646,R3_5_1,2009-09-25,2009-10-27,32 days 00:00:00.000000000
org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\ASTVisitor.java,1.25,2008-10-15,53024,R3_5_2,2010-02-26,2010-08-05,160 days 00:00:00.000000000
org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\NodeFinder.java,1.2,2008-10-15,53024,R3_5_2,2010-02-26,2010-08-05,160 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\SetClasspathOperation.java,1.156,2008-10-10,249930,R3_5,2009-06-24,2009-11-09,138 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\SetClasspathOperation.java,1.156,2008-10-10,249930,R3_5_1,2009-09-25,2009-11-09,45 days 00:00:00.000000000
org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\CompletionEngine.java,1.397.2.1,2009-10-01,281575,R3_5_2,2010-02-26,2010-05-27,90 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\JavaModelManager.java,1.435.2.1,2009-10-01,281575,R3_5_2,2010-02-26,2010-05-27,90 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\SourceMapper.java,1.139.2.5,2009-10-01,281575,R3_5_2,2010-02-26,2010-05-27,90 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\hierarchy\IndexBasedHierarchyBuilder.java,1.108.2.1,2009-10-01,281575,R3_5_2,2010-02-26,2010-05-27,90 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\hierarchy\RegionBasedHierarchyBuilder.java,1.32.2.1,2009-10-01,281575,R3_5_2,2010-02-26,2010-05-27,90 days 00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\MatchLocator.java,1.323.2.1,2009-10-01,281575,R3_5_2,2010-02-26,2010-05-27,90 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\JavaProject.java,1.424.2.1,2009-07-14,280497,R3_5_2,2010-02-26,2010-05-27,90 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\JavaProject.java,1.424.2.1,2009-07-14,276373,R3_5_2,2010-02-26,2010-05-27,90 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\UserLibraryManager.java,1.17.2.1,2009-07-14,260968,R3_5_2,2010-02-26,2010-06-10,104 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\hierarchy\HierarchyResolver.java,1.89.2.2,2010-02-11,301438,R3_5_2,2010-02-26,2010-05-11,74 days 00:00:00.000000000
org.eclipse.jdt.core\formatter\org\eclipse\jdt\internal\formatter\Scribe.java,1.162.2.5,2009-07-20,283467,R3_5_1,2009-09-25,2010-02-19,147 days 00:00:00.000000000
org.eclipse.jdt.core\formatter\org\eclipse\jdt\internal\formatter\align\Alignment.java,1.32.2.1,2009-07-20,283467,R3_5_1,2009-09-25,2010-02-19,147 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ArrayInitializer.java,1.20.2.1,2003-05-12,37387,R2_1_1,2003-06-27,2003-06-30,3 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\NameReference.java,1.11,2003-03-24,35456,R2_1,2003-03-27,2003-03-28,1 days 00:00:00.000000000
org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\ASTConverter.java,1.102.2.1,2003-12-04,38732,R2_1_3,2004-03-10,2004-08-23,166 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\Buffer.java,1.37,2003-03-24,35352,R2_1,2003-03-27,2003-03-28,1 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\PackageFragmentRoot.java,1.64,2003-03-24,35352,R2_1,2003-03-27,2003-03-28,1 days 00:00:00.000000000
org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\PackageFragmentRootInfo.java,1.25,2003-03-24,35352,R2_1,2003-03-27,2003-03-28,1 days 00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\IndexSelector.java,1.20,2003-03-24,35473,R2_1,2003-03-27,2003-03-28,1 days 00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\MatchLocator.java,1.107.2.1,2003-11-07,46276,R2_1_3,2004-03-10,2004-03-12,2 days 00:00:00.000000000
org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\matching\Attic\MatchLocator2.java,1.12.2.2,2003-11-07,46276,R2_1_3,2004-03-10,2004-03-12,2 days 00:00:00.000000000
org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\EqualExpression.java,1.23.2.1,2003-04-16,36438,R2_1_1,2003-06-27,2003-10-16,111 days 00:00:00.000000000
