file,NOF_num,NOF_max,NOF_total,NSF_num,NSF_max,NSF_total,NOM_num,NOM_max,NOM_total,NSM_num,NSM_max,NSM_total,NOI,NOT,TLOC,pre,post,NOF_avg,NSF_avg,NOM_avg,NSM_avg
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\dtd\util\SortedSet.java,1,3,3,1,0,0,1,21,21,1,0,0,0,1,260,0.0,0.0,3.0,0.0,21.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AbstractAntSourceViewerConfiguration.java,1,4,4,1,0,0,1,10,10,1,0,0,0,1,178,0.0,0.0,4.0,0.0,10.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntAutoIndentStrategy.java,1,2,2,1,0,0,1,12,12,1,0,0,0,1,314,0.0,0.0,2.0,0.0,12.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntCompletionProposal.java,1,8,8,1,3,3,1,12,12,1,0,0,0,1,193,0.0,0.0,8.0,3.0,12.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntEditor.java,4,9,12,4,0,0,4,52,63,4,0,0,0,4,828,6.0,29.0,3.0,0.0,15.75,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntEditorActionContributor.java,1,3,3,1,0,0,1,7,7,1,0,0,0,1,129,0.0,34.0,3.0,0.0,7.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntEditorCompletionProcessor.java,1,12,12,1,10,10,1,64,64,1,0,0,0,1,1557,3.0,38.0,12.0,10.0,64.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntEditorMessages.java,1,0,0,1,2,2,1,0,0,1,1,1,0,1,33,0.0,19.0,0.0,2.0,0.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\AntEditorSourceViewerConfiguration.java,1,4,4,1,0,0,1,12,12,1,0,0,0,1,227,0.0,32.0,4.0,0.0,12.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\HTML2TextReader.java,1,6,6,1,3,3,1,12,12,1,0,0,0,1,295,0.0,0.0,6.0,3.0,12.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\HTMLPrinter.java,1,0,0,1,0,0,1,0,0,1,12,12,0,1,118,0.0,0.0,0.0,0.0,0.0,12.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\HTMLTextPresenter.java,1,2,2,1,1,1,1,6,6,1,0,0,0,1,189,0.0,0.0,2.0,1.0,6.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\LineBreakingReader.java,1,6,6,1,0,0,1,4,4,1,0,0,0,1,114,0.0,0.0,6.0,0.0,4.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\SingleCharReader.java,1,0,0,1,0,0,1,4,4,1,0,0,0,1,63,0.0,0.0,0.0,0.0,4.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\derived\SubstitutionTextReader.java,1,7,7,1,1,1,1,9,9,1,0,0,0,1,152,0.0,0.0,7.0,1.0,9.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\FormattingPreferences.java,1,1,1,1,0,0,1,7,7,1,1,1,0,1,74,6.0,32.0,1.0,0.0,7.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\XmlDocumentFormatter.java,8,11,19,8,2,4,8,35,65,8,7,8,0,8,523,0.0,25.0,2.375,0.5,8.125,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\XmlDocumentFormattingStrategy.java,1,3,3,1,0,0,1,3,3,1,0,0,0,1,81,0.0,0.0,3.0,0.0,3.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\XmlElementFormattingStrategy.java,1,3,3,1,0,0,1,4,4,1,0,0,0,1,110,31.0,7.0,3.0,0.0,4.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\XmlFormatter.java,1,0,0,1,1,1,1,1,1,1,12,12,0,1,288,0.0,32.0,0.0,1.0,1.0,12.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\formatter\XmlTagFormatter.java,7,8,17,7,0,0,7,32,74,7,1,1,0,7,457,3.0,7.0,2.4285714285714284,0.0,10.571428571428571,0.14285714285714285
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntDefiningTaskNode.java,1,0,0,1,0,0,1,4,4,1,1,1,0,1,105,0.0,0.0,0.0,0.0,4.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntElementNode.java,1,15,15,1,0,0,1,44,44,1,0,0,0,1,580,0.0,0.0,15.0,0.0,44.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntImportNode.java,1,1,1,1,0,0,1,5,5,1,0,0,0,1,84,0.0,0.0,1.0,0.0,5.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntModelMessages.java,1,0,0,1,2,2,1,0,0,1,1,1,0,1,34,0.0,0.0,0.0,2.0,0.0,1.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntProjectNode.java,1,3,3,1,0,0,1,7,7,1,0,0,0,1,100,0.0,0.0,3.0,0.0,7.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntPropertyNode.java,1,1,1,1,0,0,1,3,3,1,0,0,0,1,77,0.0,0.0,1.0,0.0,3.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntTargetNode.java,1,1,1,1,0,0,1,7,7,1,0,0,0,1,111,0.0,0.0,1.0,0.0,7.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\AntTaskNode.java,1,4,4,1,0,0,1,10,10,1,0,0,0,1,128,0.0,0.0,4.0,0.0,10.0,0.0
eclipse\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\model\IAntModelConstants.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0.0,0.0,,,,
