file,num_of_anony,num_of_interface,num_of_class,line_of_code
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\AntModel.java,??,0,1,1371
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\AntModelProject.java,??,0,1,115
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\AntOutlineMessages.java,??,0,1,33
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\DocumentModelChangeEvent.java,??,0,1,42
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\FilterImportedElementsAction.java,??,0,1,44
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\FilterInternalTargetsAction.java,??,0,1,44
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\FilterPropertiesAction.java,??,0,1,44
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\FilterTopLevelAction.java,??,0,1,44
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\IDocumentModelListener.java,??,1,0,18
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\IProblem.java,??,1,0,54
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\IProblemRequestor.java,??,1,0,35
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\LocationProvider.java,??,0,1,41
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\ToggleLinkWithEditorAction.java,??,0,1,46
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\ToggleSortAntOutlineAction.java,??,0,1,40
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\XMLCore.java,??,0,1,57
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\outline\XMLProblem.java,??,0,1,150
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\TaskDescriptionProvider.java,??,0,1,408
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntContext.java,??,0,1,83
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntSourceViewerInformationControl.java,??,0,1,57
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplateAccess.java,??,0,1,89
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplateInformationControlCreator.java,??,0,1,54
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplatePreferencePage.java,??,0,1,107
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplateProposal.java,??,0,1,37
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplateVariableTextHover.java,??,0,1,63
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntTemplateViewerConfiguration.java,??,0,1,26
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\AntVariableResolver.java,??,0,1,50
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\BuildFileContextType.java,??,0,1,42
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\templates\TaskContextType.java,??,0,1,16
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AbstractAntEditorScanner.java,??,0,1,76
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AnnotationAccess.java,??,0,1,44
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AntDocumentFactory.java,??,0,1,30
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AntDocumentSetupParticipant.java,??,0,1,52
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AntEditorDocumentProvider.java,??,0,5,409
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AntEditorPartitionScanner.java,??,0,1,64
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AntEditorProcInstrScanner.java,??,0,1,71
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AntEditorTagScanner.java,??,0,1,77
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AntEditorTextMessages.java,??,0,1,31
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AntEditorWhitespaceDetector.java,??,0,1,31
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\AntStorageDocumentProvider.java,??,0,1,48
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\FileScanner.java,??,0,1,26
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\IAntEditorColorConstants.java,??,1,0,37
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\IReconcilingParticipant.java,??,1,0,24
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\IXMLAnnotation.java,??,1,0,111
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\MultilineDamagerRepairer.java,??,0,1,176
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\NotifyingReconciler.java,??,0,1,65
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\PartiallySynchronizedDocument.java,??,0,1,96
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\TagRule.java,??,0,1,111
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\XMLAnnotationHover.java,??,0,1,187
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\XMLAnnotationIterator.java,??,0,1,75
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\XMLMarkerAnnotation.java,??,0,1,189
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\XMLProblemAnnotation.java,??,0,1,118
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\XMLReconcilingStrategy.java,??,0,1,87
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\text\XMLTextHover.java,??,0,1,254
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\utils\ProjectHelper.java,??,0,8,641
plugins\org.eclipse.ant.ui\Ant Editor\org\eclipse\ant\internal\ui\editor\utils\ProjectHelperMessages.java,??,0,1,30
plugins\org.eclipse.ant.ui\Ant Runner Support\org\eclipse\ant\internal\ui\antsupport\AntSupportMessages.java,??,0,1,32
plugins\org.eclipse.ant.ui\Ant Runner Support\org\eclipse\ant\internal\ui\antsupport\inputhandler\AntInputHandler.java,??,0,1,69
plugins\org.eclipse.ant.ui\Ant Runner Support\org\eclipse\ant\internal\ui\antsupport\logger\AntProcessBuildLogger.java,??,0,1,298
plugins\org.eclipse.ant.ui\Ant Runner Support\org\eclipse\ant\internal\ui\antsupport\logger\NullBuildLogger.java,??,0,1,165
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\console\AntConsoleColorProvider.java,??,0,1,133
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\console\BuildFailedTracker.java,??,0,1,112
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\console\JavacLineTracker.java,??,0,1,163
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\console\TaskLineTracker.java,??,0,1,59
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\datatransfer\AntBuildfileImportWizard.java,??,0,1,58
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\datatransfer\DataTransferMessages.java,??,0,1,30
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\datatransfer\ExternalAntBuildfileImportPage.java,??,0,2,535
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\datatransfer\ProjectCreator.java,??,0,1,175
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AddVariableStringAction.java,??,0,1,43
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntBuilderTabGroup.java,??,0,1,37
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntBuildTab.java,??,0,2,428
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntClasspathProvider.java,??,0,1,54
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntClasspathTab.java,??,0,1,135
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntEnvironmentTab.java,??,0,1,85
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntHomeClasspathEntry.java,??,0,1,206
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntJavaLaunchDelegate.java,??,0,1,47
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntJRETab.java,??,0,1,192
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntLaunchConfigurationMessages.java,??,0,1,34
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntLaunchDelegate.java,??,0,1,535
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntLaunchShortcut.java,??,0,1,551
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntLaunchShortcutWithDialog.java,??,0,1,23
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntMainTab.java,??,0,1,169
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntProcess.java,??,0,1,205
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntPropertiesTab.java,??,0,1,233
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntStreamMonitor.java,??,0,1,84
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntStreamsProxy.java,??,0,1,65
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntTabGroup.java,??,0,1,75
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntTargetContentProvider.java,??,0,1,164
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntTargetsTab.java,??,0,2,780
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\AntWorkingDirectoryBlock.java,??,0,1,92
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\ContributedClasspathEntriesEntry.java,??,0,1,175
plugins\org.eclipse.ant.ui\Ant Tools Support\org\eclipse\ant\internal\ui\launchConfigurations\EditAntHomeEntryAction.java,??,0,1,94
