fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\core\ILocalVariable.java,0,1,6,0,0,0,3,0,3,1,1.0,-3,-1,-1.0,0,0,0.0,3,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\EmptyStatement.java,1,0,39,0,1,1,8,1,28,6,3.5,0,0,0.0,7,2,0.88,8,1,1.0,9,4,1.13
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\core\util\IRuntimeInvisibleAnnotationsAttribute.java,0,1,5,0,0,0,2,0,2,1,1.0,-2,-1,-1.0,0,0,0.0,2,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\ResolvedBinaryField.java,1,0,27,0,0,0,5,1,23,8,4.6,1,1,0.2,7,4,1.4,6,2,1.2,2,2,0.4
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ReturnStatement.java,1,0,209,0,0,0,11,4,183,65,16.64,12,5,1.09,16,3,1.45,72,26,6.55,53,17,4.82
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\ExceptionAttribute.java,1,0,43,0,0,0,4,3,31,22,7.75,2,2,0.5,3,3,0.75,7,4,1.75,4,4,1.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\SourceTypeCollisionException.java,1,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\IntLiteral.java,1,0,103,0,0,1,9,2,89,54,9.89,5,3,0.56,16,4,1.78,24,14,2.67,10,3,1.11
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\ASTSyntaxErrorPropagator.java,1,0,90,0,0,0,11,1,84,53,7.64,3,3,0.27,11,1,1.0,44,34,4.0,16,7,1.45
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\JavaElementFinder.java,1,0,117,0,0,0,13,5,96,23,7.38,4,2,0.31,17,3,1.31,30,5,2.31,28,9,2.15
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\Statement.java,1,0,53,0,0,0,5,1,47,34,9.4,4,4,0.8,3,1,0.6,13,9,2.6,9,5,1.8
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\SourceFieldWithChildrenInfo.java,1,0,11,0,0,0,2,1,6,3,3.0,0,0,0.0,1,1,0.5,2,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\CompilationUnitElementInfo.java,1,0,16,0,0,0,3,3,9,3,3.0,0,0,0.0,1,1,0.33,3,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\select\SelectionOnArgumentName.java,1,0,30,0,0,0,4,0,22,11,5.5,1,1,0.25,10,4,2.5,6,3,1.5,8,6,2.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\env\IDependent.java,0,1,5,0,0,0,1,1,1,1,1.0,-1,-1,-1.0,0,0,0.0,1,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\index\Index.java,1,0,152,0,1,2,14,7,125,31,8.93,5,2,0.36,15,3,1.07,46,15,3.29,30,7,2.14
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\dom\org\eclipse\jdt\core\dom\Message.java,1,0,44,0,0,0,6,3,39,16,6.5,2,1,0.33,5,3,0.83,11,4,1.83,1,1,0.17
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\RawTypeBinding.java,1,0,122,0,0,0,11,0,119,31,10.82,9,4,0.82,7,3,0.64,39,8,3.55,53,12,4.82
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\model\org\eclipse\jdt\core\IImportContainer.java,0,1,4,0,0,0,1,0,1,1,1.0,-1,-1,-1.0,1,1,1.0,1,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionJavadocParser.java,1,0,690,0,0,2,24,8,703,130,29.29,48,7,2.0,24,6,1.0,190,37,7.92,70,13,2.92
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\codeassist\org\eclipse\jdt\internal\codeassist\complete\CompletionOnSingleTypeReference.java,1,0,79,0,0,4,12,8,68,17,5.67,2,1,0.17,13,3,1.08,19,4,1.58,6,3,0.5
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\codegen\CharArrayCache.java,1,0,124,0,0,0,12,4,108,15,9.0,15,2,1.25,9,2,0.75,37,5,3.08,18,5,1.5
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\env\ISourceType.java,0,1,16,0,0,0,13,0,13,1,1.0,-13,-1,-1.0,0,0,0.0,13,1,1.0,0,0,0.0
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\search\org\eclipse\jdt\internal\core\search\JavaSearchParticipant.java,1,0,52,0,0,0,7,1,37,10,5.29,2,1,0.29,10,5,1.43,12,3,1.71,15,6,2.14
eclipse-sourceBuild-srcIncluded-3.5\plugins\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\classfmt\AnnotationInfo.java,1,0,322,0,0,1,12,5,300,87,25.0,8,2,0.67,14,5,1.17,95,18,7.92,54,18,4.5
