file,commitNo,date,bugID,releaseNo,Date,Changed,Changed-Date
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\search\SearchLabelProvider.java,1.7,2004-05-03,60117,R3_0_1,2004-09-16,2005-02-16,153 days 00:00:00.000000000
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\search\SortAction.java,1.3,2004-05-03,60117,R3_0_1,2004-09-16,2005-02-16,153 days 00:00:00.000000000
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\search\Attic\NameSorter.java,1.3,2004-05-03,60117,R3_0_1,2004-09-16,2005-02-16,153 days 00:00:00.000000000
eclipse\org.eclipse.search\search\org\eclipse\search\internal\ui\text\Attic\NameSorter.java,1.2,2004-05-03,60117,R3_0_1,2004-09-16,2005-02-16,153 days 00:00:00.000000000
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\search\Attic\FilterAction.java,1.3,2004-06-10,63247,R3_0_2,2005-03-11,2005-06-08,89 days 00:00:00.000000000
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\internal\ui\search\Attic\FiltersDialogAction.java,1.1,2004-06-10,63247,R3_0_2,2005-03-11,2005-06-08,89 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\SubContributionManager.java,1.7.2.2,2004-09-15,73715,R3_0_1,2004-09-16,2004-09-20,4 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\action\SubMenuManager.java,1.12.2.2,2004-09-15,73715,R3_0_1,2004-09-16,2004-09-20,4 days 00:00:00.000000000
eclipse\org.eclipse.ui.workbench\Eclipse UI\org\eclipse\ui\internal\ActionSetMenuManager.java,1.7.2.1,2004-09-14,73715,R3_0_1,2004-09-16,2004-09-20,4 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\dialogs\DialogMessageArea.java,1.5,2004-05-04,60783,R3_0_2,2005-03-11,2005-05-10,60 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\dialogs\IDialogConstants.java,1.7,2004-05-04,60783,R3_0_2,2005-03-11,2005-05-10,60 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\dialogs\IInputValidator.java,1.4,2004-05-04,60783,R3_0_2,2005-03-11,2005-05-10,60 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\dialogs\ProgressIndicator.java,1.9,2004-05-04,60783,R3_0_2,2005-03-11,2005-05-10,60 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\preference\BooleanPropertyAction.java,1.2,2004-05-04,60785,R3_0_2,2005-03-11,2005-05-10,60 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\preference\FieldEditorPreferencePage.java,1.6,2004-05-04,60785,R3_0_2,2005-03-11,2005-05-10,60 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\preference\PreferenceContentProvider.java,1.4,2004-05-04,60785,R3_0_2,2005-03-11,2005-05-10,60 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\util\DelegatingDropAdapter.java,1.1,2003-04-16,10146,R3_0_2,2005-03-11,2005-06-28,109 days 00:00:00.000000000
eclipse\org.eclipse.jface\src\org\eclipse\jface\util\TransferDragSourceListener.java,1.1,2003-04-16,10146,R3_0_2,2005-03-11,2005-06-28,109 days 00:00:00.000000000
