file,class,num_of_method,num_of_static_method
org.eclipse.jdt.internal.compiler.ast.SingleNameReference.java,SingleNameReference,18,0
org.eclipse.jdt.internal.compiler.ast.SingleTypeReference.java,SingleTypeReference,7,0
org.eclipse.jdt.internal.compiler.ast.Statement.java,Statement,8,0
org.eclipse.jdt.internal.compiler.ast.StringLiteral.java,StringLiteral,8,0
org.eclipse.jdt.internal.compiler.ast.SuperReference.java,SuperReference,5,1
org.eclipse.jdt.internal.compiler.ast.SwitchStatement.java,SwitchStatement,7,0
org.eclipse.jdt.internal.compiler.ast.SynchronizedStatement.java,SynchronizedStatement,5,0
org.eclipse.jdt.internal.compiler.ast.ThisReference.java,ThisReference,6,0
org.eclipse.jdt.internal.compiler.ast.ThrowStatement.java,ThrowStatement,5,0
org.eclipse.jdt.internal.compiler.ast.TrueLiteral.java,TrueLiteral,6,0
org.eclipse.jdt.internal.compiler.ast.TryStatement.java,TryStatement,6,0
org.eclipse.jdt.internal.compiler.ast.TypeDeclaration.java,TypeDeclaration,32,0
org.eclipse.jdt.internal.compiler.ast.TypeReference.java,TypeReference,8,1
org.eclipse.jdt.internal.compiler.ast.UnaryExpression.java,UnaryExpression,7,0
org.eclipse.jdt.internal.compiler.ast.WhileStatement.java,WhileStatement,6,0
org.eclipse.jdt.internal.compiler.batch.ClasspathDirectory.java,ClasspathDirectory,6,0
org.eclipse.jdt.internal.compiler.batch.ClasspathJar.java,ClasspathJar,4,0
org.eclipse.jdt.internal.compiler.batch.CompilationUnit.java,CompilationUnit,5,0
org.eclipse.jdt.internal.compiler.batch.FileFinder.java,FileFinder,2,0
org.eclipse.jdt.internal.compiler.batch.FileSystem.java,FileSystem,10,0
org.eclipse.jdt.internal.compiler.batch.Main.java,Main,15,9
org.eclipse.jdt.internal.compiler.ClassFile.java,ClassFile,38,4
org.eclipse.jdt.internal.compiler.classfmt.ClassFileReader.java,ClassFileReader,30,6
org.eclipse.jdt.internal.compiler.classfmt.ClassFileStruct.java,ClassFileStruct,12,2
org.eclipse.jdt.internal.compiler.classfmt.ClassFormatException.java,ClassFormatException,1,0
org.eclipse.jdt.internal.compiler.classfmt.FieldInfo.java,FieldInfo,15,0
org.eclipse.jdt.internal.compiler.classfmt.InnerClassInfo.java,InnerClassInfo,7,0
org.eclipse.jdt.internal.compiler.classfmt.MethodInfo.java,MethodInfo,15,0
org.eclipse.jdt.internal.compiler.codegen.CaseLabel.java,CaseLabel,5,0
org.eclipse.jdt.internal.compiler.codegen.CharArrayCache.java,CharArrayCache,10,0
org.eclipse.jdt.internal.compiler.codegen.CodeStream.java,CodeStream,296,4
org.eclipse.jdt.internal.compiler.codegen.ConstantPool.java,ConstantPool,71,0
org.eclipse.jdt.internal.compiler.codegen.DoubleCache.java,DoubleCache,5,0
org.eclipse.jdt.internal.compiler.codegen.ExceptionLabel.java,ExceptionLabel,3,0
org.eclipse.jdt.internal.compiler.codegen.FieldNameAndTypeCache.java,FieldNameAndTypeCache,9,0
org.eclipse.jdt.internal.compiler.codegen.FloatCache.java,FloatCache,5,0
org.eclipse.jdt.internal.compiler.codegen.IntegerCache.java,IntegerCache,8,0
org.eclipse.jdt.internal.compiler.codegen.Label.java,Label,10,0
org.eclipse.jdt.internal.compiler.codegen.LongCache.java,LongCache,8,0
org.eclipse.jdt.internal.compiler.codegen.MethodNameAndTypeCache.java,MethodNameAndTypeCache,9,0
org.eclipse.jdt.internal.compiler.codegen.ObjectCache.java,ObjectCache,8,0
org.eclipse.jdt.internal.compiler.codegen.ResetStateForCodeGenerationVisitor.java,ResetStateForCodeGenerationVisitor,6,0
org.eclipse.jdt.internal.compiler.Compiler.java,Compiler,14,0
org.eclipse.jdt.internal.compiler.ConfigurableOption.java,ConfigurableOption,11,0
org.eclipse.jdt.internal.compiler.DefaultErrorHandlingPolicies.java,DefaultErrorHandlingPolicies,8,4
org.eclipse.jdt.internal.compiler.DocumentElementParser.java,DocumentElementParser,54,0
org.eclipse.jdt.internal.compiler.env.NameEnvironmentAnswer.java,NameEnvironmentAnswer,6,0
org.eclipse.jdt.internal.compiler.flow.ConditionalFlowInfo.java,ConditionalFlowInfo,19,0
org.eclipse.jdt.internal.compiler.flow.ExceptionHandlingFlowContext.java,ExceptionHandlingFlowContext,6,0
org.eclipse.jdt.internal.compiler.flow.FinallyFlowContext.java,FinallyFlowContext,3,0
org.eclipse.jdt.internal.compiler.flow.FlowContext.java,FlowContext,23,0
org.eclipse.jdt.internal.compiler.flow.FlowInfo.java,FlowInfo,21,2
org.eclipse.jdt.internal.compiler.flow.InitializationFlowContext.java,InitializationFlowContext,2,0
org.eclipse.jdt.internal.compiler.flow.InsideSubRoutineFlowContext.java,InsideSubRoutineFlowContext,3,0
org.eclipse.jdt.internal.compiler.flow.LabelFlowContext.java,LabelFlowContext,3,0
org.eclipse.jdt.internal.compiler.flow.LoopingFlowContext.java,LoopingFlowContext,8,0
org.eclipse.jdt.internal.compiler.flow.SwitchFlowContext.java,SwitchFlowContext,4,0
org.eclipse.jdt.internal.compiler.flow.UnconditionalFlowInfo.java,UnconditionalFlowInfo,23,1
org.eclipse.jdt.internal.compiler.impl.BooleanConstant.java,BooleanConstant,4,0
org.eclipse.jdt.internal.compiler.impl.ByteConstant.java,ByteConstant,10,0
org.eclipse.jdt.internal.compiler.impl.CharConstant.java,CharConstant,10,0
org.eclipse.jdt.internal.compiler.impl.CompilerOptions.java,CompilerOptions,5,0
org.eclipse.jdt.internal.compiler.impl.Constant.java,Constant,13,29
org.eclipse.jdt.internal.compiler.impl.DoubleConstant.java,DoubleConstant,10,0
org.eclipse.jdt.internal.compiler.impl.FloatConstant.java,FloatConstant,10,0
org.eclipse.jdt.internal.compiler.impl.IntConstant.java,IntConstant,10,0
org.eclipse.jdt.internal.compiler.impl.LongConstant.java,LongConstant,10,0
org.eclipse.jdt.internal.compiler.impl.NullConstant.java,NullConstant,3,0
org.eclipse.jdt.internal.compiler.impl.ShortConstant.java,ShortConstant,10,0
org.eclipse.jdt.internal.compiler.impl.StringConstant.java,StringConstant,4,0
org.eclipse.jdt.internal.compiler.lookup.ArrayBinding.java,ArrayBinding,11,0
org.eclipse.jdt.internal.compiler.lookup.BaseTypeBinding.java,BaseTypeBinding,7,2
org.eclipse.jdt.internal.compiler.lookup.BinaryTypeBinding.java,BinaryTypeBinding,20,0
org.eclipse.jdt.internal.compiler.lookup.Binding.java,Binding,4,0
org.eclipse.jdt.internal.compiler.lookup.BlockScope.java,BlockScope,30,0
org.eclipse.jdt.internal.compiler.lookup.ClassScope.java,ClassScope,20,0
org.eclipse.jdt.internal.compiler.lookup.CompilationUnitScope.java,CompilationUnitScope,18,0
org.eclipse.jdt.internal.compiler.lookup.FieldBinding.java,FieldBinding,13,0
org.eclipse.jdt.internal.compiler.lookup.ImportBinding.java,ImportBinding,3,0
org.eclipse.jdt.internal.compiler.lookup.InnerEmulationDependency.java,InnerEmulationDependency,0,0
org.eclipse.jdt.internal.compiler.lookup.LocalTypeBinding.java,LocalTypeBinding,8,0
org.eclipse.jdt.internal.compiler.lookup.LocalVariableBinding.java,LocalVariableBinding,5,0
org.eclipse.jdt.internal.compiler.lookup.LookupEnvironment.java,LookupEnvironment,23,0
org.eclipse.jdt.internal.compiler.lookup.MemberTypeBinding.java,MemberTypeBinding,3,0
org.eclipse.jdt.internal.compiler.lookup.MethodBinding.java,MethodBinding,31,0
org.eclipse.jdt.internal.compiler.lookup.MethodScope.java,MethodScope,10,0
org.eclipse.jdt.internal.compiler.lookup.MethodVerifier.java,MethodVerifier,17,0
org.eclipse.jdt.internal.compiler.lookup.NestedTypeBinding.java,NestedTypeBinding,12,0
org.eclipse.jdt.internal.compiler.lookup.PackageBinding.java,PackageBinding,13,0
org.eclipse.jdt.internal.compiler.lookup.ProblemBinding.java,ProblemBinding,3,0
