file,bugID
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,206391
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,236385
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,296998
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,280784
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,296998
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,236385
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,206391
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,295551
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,291528
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,310330
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,280784
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,106478
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,106478
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,163194
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,275467
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,255974
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,229092
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,227941
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,210521
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,138018
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,120223
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,192774
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,189799
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,191082
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,190493
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,192774
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,189799
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,191082
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,227941
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,188648
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,188656
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,185768
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,177621
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,168910
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,141830
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,160773
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,165976
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,161975
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,161980
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,164081
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,161967
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,156736
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,159641
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,129584
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,146214
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,139569
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,160962
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,154111
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,144248
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,137619
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,137619
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,126419
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,137619
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,137053
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,137053
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,126419
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,133848
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,135217
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,96648
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,133748
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,133748
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,132575
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,104536
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,125961
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,125961
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,125641
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,42253
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,116615
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,118064
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,111511
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,111222
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,110849
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,110826
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,107535
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,106656
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,105430
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,48976
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,103636
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,99009
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,103636
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,104664
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,105430
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,88364
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,92398
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,93905
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,93904
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,89096
org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\Main.java,82510
