fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
org.eclipse.jdt.internal.compiler.impl.FloatConstant,1,0,39,0,0,0,11,1,35,5,3.18,0,0,0.0,1,1,0.09,12,2,1.09,1,1,0.09
org.eclipse.jdt.internal.codeassist.CompletionEngine,1,0,4961,3,3,26,90,58,3933,392,43.7,260,21,2.89,308,14,3.42,1281,109,14.23,1274,64,14.16
org.eclipse.jdt.internal.core.search.AbstractSearchScope,1,0,16,0,0,0,5,0,11,3,2.2,-1,0,-0.2,3,1,0.6,5,1,1.0,0,0,0.0
org.eclipse.jdt.core.eval.IGlobalVariable,0,1,6,0,0,0,3,0,3,1,1.0,-3,-1,-1.0,0,0,0.0,3,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.builder.AbstractImageBuilder,1,0,377,0,0,7,17,17,292,63,17.18,25,5,1.47,34,5,2.0,98,16,5.76,121,33,7.12
org.eclipse.jdt.internal.core.JavaModelOperation,1,0,549,0,0,8,61,18,514,49,8.43,56,4,0.92,63,4,1.03,157,13,2.57,151,22,2.48
org.eclipse.jdt.internal.core.util.CodeSnippetParsingUtil,1,0,153,0,0,0,8,1,105,28,13.13,7,2,0.88,29,5,3.63,22,7,2.75,26,7,3.25
org.eclipse.jdt.internal.formatter.OptimizedReplaceEdit,1,0,14,0,0,0,2,3,8,5,4.0,0,0,0.0,3,3,1.5,2,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.eval.GlobalVariableWrapper,1,0,23,0,0,0,4,1,18,9,4.5,1,1,0.25,1,1,0.25,5,2,1.25,3,1,0.75
org.eclipse.jdt.internal.core.dom.rewrite.NodeInfoStore,1,0,108,0,0,0,9,3,75,29,8.33,5,1,0.56,10,2,1.11,20,8,2.22,19,12,2.11
org.eclipse.jdt.internal.compiler.flow.ExceptionHandlingFlowContext,1,0,168,0,0,1,9,9,127,24,14.11,15,3,1.67,16,5,1.78,40,8,4.44,34,6,3.78
org.eclipse.jdt.internal.compiler.ast.Initializer,1,0,82,0,0,0,9,5,62,17,6.89,5,2,0.56,15,3,1.67,17,4,1.89,21,7,2.33
org.eclipse.jdt.internal.core.util.LineNumberAttribute,1,0,37,0,0,1,3,3,23,17,7.67,2,2,0.67,3,3,1.0,5,3,1.67,1,1,0.33
org.eclipse.jdt.internal.core.search.indexing.IndexBinaryFolder,1,0,130,2,0,0,6,1,110,93,18.33,5,5,0.83,4,2,0.67,26,20,4.33,21,17,3.5
org.eclipse.jdt.internal.core.ResolvedSourceField,1,0,22,0,0,0,4,1,18,8,4.5,1,1,0.25,7,4,1.75,5,2,1.25,2,2,0.5
org.eclipse.jdt.internal.codeassist.impl.AssistParser,1,0,1280,0,0,12,92,23,1159,139,12.6,53,4,0.58,58,5,0.63,308,35,3.35,220,10,2.39
org.eclipse.jdt.internal.eval.Evaluator,1,0,106,1,0,0,7,5,81,54,11.57,-1,1,-0.14,11,5,1.57,10,3,1.43,12,6,1.71
org.eclipse.jdt.internal.compiler.ast.JavadocImplicitTypeReference,1,0,57,0,0,0,11,1,48,12,4.36,2,1,0.18,14,2,1.27,17,6,1.55,8,5,0.73
org.eclipse.jdt.internal.core.search.IndexQueryRequestor,1,0,7,0,0,0,1,0,1,1,1.0,-1,-1,-1.0,4,4,4.0,1,1,1.0,0,0,0.0
org.eclipse.platform.internal.LaunchUpdateIntroAction,1,0,23,1,0,0,2,0,13,11,6.5,0,0,0.0,2,2,1.0,2,1,1.0,5,5,2.5
org.eclipse.jdt.core.dom.IDocElement,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jdt.internal.core.TypeParameterElementInfo,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.jdt.internal.core.DeleteElementsOperation,1,0,126,0,0,0,9,2,99,26,11.0,10,4,1.11,6,2,0.67,27,7,3.0,48,14,5.33
org.eclipse.jdt.core.dom.ASTVisitor,1,0,429,0,0,0,170,1,425,3,2.5,0,0,0.0,169,1,0.99,170,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.env.NameEnvironmentAnswer,1,0,40,0,0,0,10,4,33,4,3.3,0,0,0.0,6,2,0.6,10,1,1.0,0,0,0.0
org.eclipse.jdt.core.dom.BindingComparator,1,0,212,0,10,0,10,0,162,62,16.2,10,3,1.0,24,3,2.4,50,21,5.0,39,22,3.9
org.eclipse.jdt.internal.compiler.flow.ConditionalFlowInfo,1,0,121,0,0,0,29,2,105,6,3.62,0,0,0.0,22,2,0.76,29,1,1.0,30,3,1.03
org.eclipse.jdt.internal.core.builder.JavaBuilder,1,0,529,0,9,2,28,11,464,75,16.57,36,5,1.29,22,3,0.79,171,23,6.11,170,30,6.07
org.eclipse.jdt.internal.core.CreateImportOperation,1,0,93,0,0,0,7,1,70,24,10.0,6,3,0.86,6,3,0.86,19,6,2.71,30,17,4.29
org.eclipse.jdt.core.ICodeCompletionRequestor,0,1,62,0,0,0,11,0,11,1,1.0,-11,-1,-1.0,57,11,5.18,11,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.BinaryMethod,1,0,288,0,0,1,27,5,247,34,9.15,22,4,0.81,17,4,0.63,68,9,2.52,81,10,3.0
org.eclipse.jdt.core.dom.BodyDeclaration,1,0,77,0,3,0,16,3,70,15,4.38,3,3,0.19,7,1,0.44,22,4,1.38,18,6,1.13
org.eclipse.jdt.core.IType,0,1,103,0,0,0,53,0,53,1,1.0,-53,-1,-1.0,82,9,1.55,53,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.util.Util,1,0,288,1,15,2,15,2,253,49,16.87,29,5,1.93,25,4,1.67,89,16,5.93,35,5,2.33
org.eclipse.jdt.core.search.PackageReferenceMatch,1,0,9,0,0,0,1,0,4,4,4.0,0,0,0.0,7,7,7.0,1,1,1.0,1,1,1.0
org.eclipse.jdt.internal.compiler.ast.SingleNameReference,1,0,625,0,0,2,21,5,601,98,28.62,33,5,1.57,54,7,2.57,234,37,11.14,178,23,8.48
org.eclipse.jdt.internal.compiler.parser.diagnose.RangeUtil,1,0,161,0,6,3,6,3,78,41,13.0,10,5,1.67,13,4,2.17,27,14,4.5,9,5,1.5
org.eclipse.jdt.internal.core.CreateCompilationUnitOperation,1,0,112,0,0,0,5,2,85,55,17.0,7,5,1.4,4,4,0.8,21,13,4.2,38,26,7.6
org.eclipse.jdt.internal.core.util.MethodInfo,1,0,146,0,0,0,17,12,130,82,7.65,3,3,0.18,4,4,0.24,39,23,2.29,8,8,0.47
org.eclipse.jdt.internal.compiler.ast.BinaryExpression,1,0,1552,0,0,0,20,2,1274,433,63.7,53,6,2.65,66,5,3.3,410,152,20.5,184,57,9.2
org.eclipse.jdt.internal.compiler.ast.JavadocMessageSend,1,0,175,0,0,0,8,3,173,128,21.63,8,4,1.0,12,3,1.5,55,40,6.88,36,27,4.5
org.eclipse.jdt.internal.compiler.impl.CompilerOptions,1,0,874,0,5,148,14,181,635,313,45.36,9,4,0.64,11,2,0.79,273,141,19.5,26,8,1.86
org.eclipse.jdt.internal.core.search.indexing.RemoveFromIndex,1,0,28,0,0,0,3,1,22,15,7.33,1,1,0.33,4,3,1.33,8,6,2.67,5,5,1.67
org.eclipse.jdt.internal.compiler.codegen.DoubleCache,1,0,88,0,0,0,7,3,80,20,11.43,10,3,1.43,5,2,0.71,32,10,4.57,7,4,1.0
org.eclipse.jdt.internal.core.util.BindingKeyResolver,1,0,405,0,0,0,35,15,332,69,9.49,19,3,0.54,32,5,0.91,99,11,2.83,57,6,1.63
org.eclipse.jdt.core.compiler.IScanner,0,1,16,0,0,0,12,0,12,1,1.0,-12,-1,-1.0,6,2,0.5,12,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.dom.rewrite.NodeRewriteEvent,1,0,64,0,0,0,8,2,59,25,7.38,1,1,0.13,3,2,0.38,15,5,1.88,8,7,1.0
org.eclipse.jdt.core.Signature,1,0,1420,0,70,55,71,55,1368,140,19.27,81,4,1.14,150,6,2.11,425,37,5.99,191,9,2.69
org.eclipse.jdt.internal.codeassist.select.SelectionOnSingleTypeReference,1,0,36,0,0,0,5,0,22,8,4.4,1,1,0.2,8,2,1.6,9,4,1.8,11,4,2.2
org.eclipse.jdt.core.dom.PostfixExpression,1,0,138,0,1,3,15,5,91,12,6.07,10,3,0.67,15,3,1.0,25,3,1.67,29,8,1.93
org.eclipse.jdt.core.IField,0,1,9,0,0,0,6,0,6,1,1.0,-6,-1,-1.0,0,0,0.0,6,1,1.0,0,0,0.0
org.eclipse.jdt.core.JavaModelException,1,0,77,0,0,1,9,2,71,20,7.89,8,2,0.89,6,2,0.67,15,3,1.67,23,9,2.56
org.eclipse.jdt.internal.core.SourceMapper,1,0,949,2,0,4,41,27,802,164,19.56,64,7,1.56,67,5,1.63,208,45,5.07,211,47,5.15
org.eclipse.jdt.core.dom.TypeBinding,1,0,809,1,0,5,59,8,769,98,13.03,59,4,1.0,12,2,0.2,251,28,4.25,227,27,3.85
org.eclipse.jdt.internal.core.ResolvedBinaryType,1,0,26,0,0,0,5,1,21,8,4.2,1,1,0.2,7,4,1.4,6,2,1.2,4,2,0.8
org.eclipse.jdt.internal.compiler.ast.SubRoutineStatement,1,0,42,0,1,1,6,3,34,11,5.67,2,1,0.33,6,3,1.0,13,4,2.17,5,2,0.83
org.eclipse.jdt.core.IMember,0,1,10,0,0,0,7,0,7,1,1.0,-7,-1,-1.0,2,2,0.29,7,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.ISourceElementRequestor,0,1,72,0,0,0,23,0,23,1,1.0,-23,-1,-1.0,44,5,1.91,23,1,1.0,0,0,0.0
org.eclipse.jdt.core.dom.IfStatement,1,0,146,0,1,4,16,7,120,30,7.5,11,3,0.69,13,3,0.81,32,7,2.0,43,12,2.69
org.eclipse.jdt.internal.core.hierarchy.HierarchyBinaryType,1,0,175,0,0,0,20,8,154,35,7.7,8,3,0.4,9,6,0.45,46,11,2.3,20,8,1.0
org.eclipse.jdt.internal.core.search.matching.QualifiedTypeDeclarationPattern,1,0,148,0,0,0,8,2,136,57,17.0,1,1,0.13,8,4,1.0,44,21,5.5,13,3,1.63
org.eclipse.jdt.internal.compiler.ast.ExtendedStringLiteral,1,0,39,0,0,0,6,0,29,7,4.83,0,0,0.0,10,2,1.67,6,1,1.0,9,3,1.5
GenerateBuildScript,1,0,87,0,4,3,4,3,47,21,11.75,5,2,1.25,7,3,1.75,12,5,3.0,24,8,6.0
org.eclipse.jdt.core.util.ByteCodeVisitorAdapter,1,0,445,0,0,0,205,0,410,2,2.0,0,0,0.0,287,5,1.4,205,1,1.0,0,0,0.0
