file,NOF_num,NOF_max,NOF_total,NSF_num,NSF_max,NSF_total,NOM_num,NOM_max,NOM_total,NSM_num,NSM_max,NSM_total,NOI,NOT,TLOC,num_of_bug,buggy,NOF_avg,NSF_avg,NOM_avg,NSM_avg
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\JavaElementLabels.java,1,0,0,1,51,51,1,0,0,1,26,26,0,1,1136,0.0,False,0.0,51.0,0.0,26.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\JavaElementSorter.java,1,1,1,1,14,14,1,11,11,1,0,0,0,1,374,0.0,False,1.0,14.0,11.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\JavaUI.java,1,0,0,1,22,22,1,0,0,1,27,27,0,1,851,0.0,False,0.0,22.0,0.0,27.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\OverrideIndicatorLabelDecorator.java,1,2,2,1,0,0,1,13,13,1,0,0,0,1,267,0.0,False,2.0,0.0,13.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\PreferenceConstants.java,1,0,0,1,304,304,1,0,0,1,7,7,0,1,3634,0.0,False,0.0,304.0,0.0,7.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\ProblemsLabelDecorator.java,2,6,7,2,3,4,2,19,20,2,0,0,0,2,390,0.0,False,3.5,2.0,10.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\refactoring\IRefactoringProcessorIds.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,217,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\refactoring\RenameSupport.java,1,2,2,1,8,8,1,6,6,1,16,16,0,1,443,0.0,False,2.0,8.0,6.0,16.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\search\ElementQuerySpecification.java,1,1,1,1,0,0,1,1,1,1,0,0,0,1,51,0.0,False,1.0,0.0,1.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\search\IMatchPresentation.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\search\IQueryParticipant.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\search\ISearchRequestor.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\search\PatternQuerySpecification.java,1,3,3,1,0,0,1,3,3,1,0,0,0,1,83,0.0,False,3.0,0.0,3.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\search\QuerySpecification.java,1,3,3,1,0,0,1,3,3,1,0,0,0,1,69,0.0,False,3.0,0.0,3.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\StandardJavaElementContentProvider.java,1,2,2,1,1,1,1,22,22,1,1,1,0,1,409,0.0,False,2.0,1.0,22.0,1.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\folding\IJavaFoldingPreferenceBlock.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\folding\IJavaFoldingStructureProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,54,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\IColorManager.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\IColorManagerExtension.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\IJavaColorConstants.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,173,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\IJavaPartitions.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\CompletionProposalCollector.java,1,12,12,1,5,5,1,31,31,1,0,0,0,1,676,0.0,False,12.0,5.0,31.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\CompletionProposalComparator.java,1,1,1,1,0,0,1,4,4,1,0,0,0,1,89,0.0,False,1.0,0.0,4.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\CompletionProposalLabelProvider.java,1,0,0,1,0,0,1,23,23,1,0,0,0,1,485,0.0,False,0.0,0.0,23.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\hover\IJavaEditorTextHover.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\IInvocationContext.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\IJavaCompletionProposal.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\IJavadocCompletionProcessor.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\IProblemLocation.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\IQuickAssistProcessor.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\IQuickFixProcessor.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\java\JavaTextMessages.java,1,0,0,1,3,3,1,0,0,1,0,0,0,1,34,0.0,False,0.0,3.0,0.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\JavaSourceViewerConfiguration.java,1,10,10,1,2,2,1,42,42,1,1,1,0,1,873,0.0,False,10.0,2.0,42.0,1.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\text\JavaTextTools.java,2,10,10,2,1,1,2,18,20,2,0,0,0,2,392,0.0,False,5.0,0.5,10.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\BuildPathDialogAccess.java,1,0,0,1,0,0,1,0,0,1,14,14,0,1,522,0.0,False,0.0,0.0,0.0,14.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\IClasspathContainerPage.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\IClasspathContainerPageExtension.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\IClasspathContainerPageExtension2.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0.0,False,,,,
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\JavaCapabilityConfigurationPage.java,1,2,2,1,1,1,1,11,11,1,1,1,0,1,241,0.0,False,2.0,1.0,11.0,1.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\NewAnnotationWizardPage.java,1,0,0,1,2,2,1,5,5,1,0,0,0,1,139,0.0,False,0.0,2.0,5.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\NewClassWizardPage.java,1,1,1,1,4,4,1,11,11,1,0,0,0,1,284,0.0,False,1.0,4.0,11.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\NewContainerWizardPage.java,2,4,4,2,1,1,2,19,21,2,0,0,0,2,486,0.0,False,2.0,0.5,10.5,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\NewElementWizardPage.java,1,2,2,1,0,0,1,3,3,1,0,0,0,1,89,0.0,False,2.0,0.0,3.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\NewEnumWizardPage.java,1,0,0,1,2,2,1,5,5,1,0,0,0,1,145,0.0,False,0.0,2.0,5.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\NewInterfaceWizardPage.java,1,0,0,1,1,1,1,5,5,1,0,0,0,1,143,0.0,False,0.0,1.0,5.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\NewJavaProjectWizardPage.java,1,5,5,1,1,1,1,15,15,1,0,0,0,1,314,0.0,False,5.0,1.0,15.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\NewPackageWizardPage.java,2,3,3,2,2,2,2,15,16,2,0,0,0,2,347,0.0,False,1.5,1.0,8.0,0.0
eclipse\org.eclipse.jdt.ui\ui\org\eclipse\jdt\ui\wizards\NewTypeWizardPage.java,4,44,47,4,13,13,4,99,114,4,0,0,0,4,2311,0.0,False,11.75,3.25,28.5,0.0
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\CoreException.java,1,1,1,1,1,1,1,4,4,1,0,0,0,1,98,0.0,False,1.0,1.0,4.0,0.0
eclipse\org.eclipse.jface\runtime-util\org\eclipse\core\runtime\IAdaptable.java,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,0.0,False,,,,
