NOT,NOI,TLOC,ACD,NSM,NSF,NOM,NOF,MLOC_total,MLOC_max,NBD_total,NBD_max,PAR_total,PAR_max,VG_total,VG_max,FOUT_total,FOUT_max,file,pre,post,MLOC_avg,NBD_avg,PAR_avg,VG_avg,FOUT_avg
1,0,59,0,0,0,7,2,49,15,4,2,10,3,14,5,11,4,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\ArrayTypeReference.java,0.0,0.0,7.0,0.5714285714285714,1.4285714285714286,2.0,1.5714285714285714
1,0,1992,0,1,4,59,4,1733,200,87,5,192,7,492,72,522,50,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\internal\core\util\Disassembler.java,0.0,0.0,29.372881355932204,1.4745762711864407,3.2542372881355934,8.338983050847459,8.847457627118644
0,1,25,0,0,0,20,0,20,1,-20,-1,17,3,20,1,0,0,eclipse\org.eclipse.jdt.core\model\org\eclipse\jdt\core\IBuffer.java,0.0,0.0,1.0,-1.0,0.85,1.0,0.0
1,0,35,0,0,0,4,1,24,11,1,1,7,2,10,6,9,4,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\JavadocReturnStatement.java,0.0,0.0,6.0,0.25,1.75,2.5,2.25
1,0,81,0,0,0,8,4,64,14,6,2,5,2,23,5,3,1,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\util\HashtableOfLong.java,0.0,0.0,8.0,0.75,0.625,2.875,0.375
1,0,132,0,1,1,7,4,69,29,4,2,32,8,26,14,12,8,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\problem\ProblemHandler.java,0.0,0.0,9.857142857142858,0.5714285714285714,4.571428571428571,3.7142857142857144,1.7142857142857142
1,0,51,0,0,0,5,4,36,17,0,0,1,1,17,8,3,2,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\lookup\SignatureWrapper.java,0.0,0.0,7.2,0.0,0.2,3.4,0.6
1,0,26,0,0,2,2,3,11,8,1,1,2,1,4,3,5,5,eclipse\org.eclipse.jdt.core\batch\org\eclipse\jdt\internal\compiler\batch\ClasspathLocation.java,0.0,4.0,5.5,0.5,1.0,2.0,2.5
1,0,166,0,0,0,8,2,128,44,9,4,10,3,75,31,40,15,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\MethodDeclaration.java,0.0,0.0,16.0,1.125,1.25,9.375,5.0
1,0,318,0,0,3,6,16,284,95,26,9,11,3,83,31,63,20,eclipse\org.eclipse.jdt.core\compiler\org\eclipse\jdt\internal\compiler\ast\SwitchStatement.java,1.0,0.0,47.333333333333336,4.333333333333333,1.8333333333333333,13.833333333333334,10.5
