fileName,numOfClass,numOfInterface,loc,anonymousClassesQty,numOfStaticMethod,numOfStaticField,numOfMethod,numOfField,methodTotalLoc,methodMaxLoc,methodAverageLoc,totalNestedBlockDepth,maxNestedBlockDepth,averageNestedBlockDepth,totalParameters,maxParameters,averageParameters,totalMcCabe,maxMcCabe,averageMcCabe,totalFanOut,maxFanOut,averageFanOut
org.eclipse.jdt.core.dom.ConditionalExpression,1,0,157,0,1,4,16,7,131,30,8.19,15,3,0.94,13,3,0.81,35,7,2.19,42,10,2.63
org.eclipse.jdt.core.util.IInnerClassesAttributeEntry,0,1,10,0,0,0,7,0,7,1,1.0,-7,-1,-1.0,0,0,0.0,7,1,1.0,0,0,0.0
org.eclipse.jdt.core.search.LocalVariableReferenceMatch,1,0,19,0,0,0,3,2,12,6,4.0,0,0,0.0,9,9,3.0,3,1,1.0,1,1,0.33
org.eclipse.jdt.core.formatter.DefaultCodeFormatterConstants,1,0,444,0,10,263,10,263,182,41,18.2,9,2,0.9,12,3,1.2,56,14,5.6,16,2,1.6
org.eclipse.jdt.internal.core.search.processing.IJob,0,1,13,0,0,0,4,5,4,1,1.0,-4,-1,-1.0,2,1,0.5,4,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.util.EnclosingMethodAttribute,1,0,65,0,0,0,8,7,50,29,6.25,2,2,0.25,3,3,0.38,13,6,1.63,7,7,0.88
org.eclipse.jdt.core.search.TypeParameterDeclarationMatch,1,0,8,0,0,0,1,0,3,3,3.0,0,0,0.0,6,6,6.0,1,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.classfmt.AnnotationMethodInfo,1,0,95,0,1,0,4,1,87,53,21.75,7,4,1.75,6,3,1.5,22,15,5.5,11,7,2.75
org.eclipse.jdt.internal.codeassist.select.SelectionParser,1,0,977,2,0,5,48,7,874,51,18.21,57,4,1.19,41,5,0.85,173,10,3.6,157,12,3.27
org.eclipse.jdt.core.util.IClassFileReader,0,1,32,0,0,0,21,8,21,1,1.0,-21,-1,-1.0,0,0,0.0,21,1,1.0,0,0,0.0
org.eclipse.jdt.internal.compiler.codegen.VerificationTypeInfo,1,0,162,0,0,9,12,13,144,42,12.0,3,2,0.25,10,3,0.83,45,13,3.75,9,4,0.75
org.eclipse.jdt.internal.core.SearchableEnvironment,1,0,242,2,0,0,12,6,186,76,15.5,13,4,1.08,22,4,1.83,43,10,3.58,36,7,3.0
org.eclipse.jdt.internal.compiler.ast.QualifiedSuperReference,1,0,39,0,0,0,6,0,31,13,5.17,2,1,0.33,8,3,1.33,11,5,1.83,10,5,1.67
org.eclipse.jdt.core.IClasspathEntry,0,1,22,0,0,0,13,5,13,1,1.0,-13,-1,-1.0,0,0,0.0,13,1,1.0,0,0,0.0
org.eclipse.jdt.internal.core.builder.IncrementalImageBuilder,1,0,686,0,0,1,26,9,590,131,22.69,43,5,1.65,44,5,1.69,244,62,9.38,235,37,9.04
org.eclipse.jdt.internal.formatter.DefaultCodeFormatterOptions,1,0,2308,0,3,3,11,252,2137,1353,194.27,2,2,0.18,3,1,0.27,546,336,49.64,13,3,1.18
org.eclipse.jdt.internal.core.util.FieldInfo,1,0,113,0,0,0,13,11,95,59,7.31,2,2,0.15,3,3,0.23,26,14,2.0,6,6,0.46
org.eclipse.jdt.internal.compiler.parser.JavadocParser,1,0,597,0,0,0,18,3,591,181,32.83,32,5,1.78,16,6,0.89,181,67,10.06,53,17,2.94
org.eclipse.jdt.internal.codeassist.CompletionRequestorWrapper,1,0,313,0,0,1,5,2,121,97,24.2,4,2,0.8,5,1,1.0,58,50,11.6,37,32,7.4
